Site Name,Site ID,Region,District,Site Status (Grid/Prime),ESCOM,Tank Size,Opening Litres, Litres Dispensed , Closing Litres , Usage in Litres ,Opening Hours,Closing Hours,Hours Run,Average Usage Per Hour,Opening Readings,Units Bought,Closing Readings,Power Usage
JALAWE,TN15011,North,RUMPHI,Grid,Prepaid,210,204,0,204,0,4314,4314,0,#DIV/0!,2011,0,1520,491
MWEYEYE,TN15035,North,RUMPHI,Grid,Prepaid,600,550,0,480,70,6644,6682,38, 1.8 ,1504,0,800,704
LIVINGSTONIA,TN15009,North,RUMPHI,Grid,Prepaid,600,514,0,476,38,4304,4326,22, 1.7 ,0,0,0,0
CHITIMBA,TN11001,North,KARONGA,Grid,Prepaid,800,602,0,562,40,13370,13387,17, 2.4 ,400,3306,1561,2145
UNDANINGE,TN11007,North,KARONGA,Grid,Prepaid,1000,910,0,875,35,2313,2331,18, 1.9 ,0,0,0,0
NGARA,TN10076,North,KARONGA,Grid,Prepaid,600,547,0,516,31,8933,8951,18, 1.7 ,385,2927,700,2612
LUPEMBE,TN15037,North,KARONGA,Grid,Prepaid,600,583,0,560,23,9,23,14, 1.6 ,1078,2561,1080,2559
MAYOKA,TN11011,North,KARONGA,Grid,Prepaid,210,180,121,210,91,9294,9358,64, 1.4 ,0,0,0,0
SONGWE,TN14006,North,KARONGA,Grid,Prepaid,1000,817,0,539,278,5143,5282,139, 2.0 ,700,2927,920,2707
MPATA,TN14018,North,KARONGA,Grid,Prepaid,600,475,0,385,90,5093,5138,45, 2.0 ,777,2561,830,2508
MISUKU,TN11006,North,KARONGA,Grid,Prepaid,600,822,0,805,17,3852,3862,10, 1.7 ,1401,2927,918,3410
ELEPHANT TREE,TN15025,North,KARONGA,Grid,Prepaid,600,346,771,1000,117,1151,1192,41, 2.9 ,2210,2927,304,4833
BUNDI,TN14004,North,NKHATABAY,OFFGRID,Prepaid,600,600,0,500,100,14853,14905,52, 1.9 ,0,0,0,0
KARONGA PROPER,TN10039,North,KARONGA,Grid,Prepaid,2000,446,0,444,2,3718,3719,1, 2.0 ,371,6953,1116,6208
MZIMBA MTL,,North,MZIMBA,Grid,Prepaid,1000,800,0,785,15,2996,3002,6, 2.5 ,0,0,0,0
BWENGU MTL,TN15001,North,RUMPHI,Grid,Prepaid,1000,910,0,900,10,2056,2061,5, 2.0 ,0,0,0,0
LUBINGA ACCESS,TN10051,North,MZUZU,Grid,Prepaid,600,420,0,418,2,10165,10167,2, 1.0 ,0,0,0,0
MZIMBA HOSPITAL,TN10067,North,MZIMBA,Grid,Prepaid,600,550,0,518,32,29617,29633,16, 2.0 ,1871,2561,1230,3202
CHINTHECHE MTL,TN11003,North,NKHATABAY,Grid,Prepaid,600,326,0,326,0,5125,5125,0,#DIV/0!,541,3306,480,3367
BOTANIC,TN12006,North,MZUZU,Grid,Prepaid,600,400,0,381,19,5810,5818,8, 2.4 ,847,3306,1087,3066
CLUB MARINA,TN12003,North,KARONGA,Grid,Prepaid,600,450,270,600,120,8321,8387,66, 1.8 ,520,3306,1809,2017
MZUZU STADIUM,TN10055,North,MZUZU,Grid,Prepaid,600,452,70,510,12,8330,8361,31, 0.4 ,308,3306,650,2964
KATOTO SCHOOL,TN10052,North,MZUZU,Grid,Prepaid,1000,629,370,982,17,1919,1919,0,#DIV/0!,110,5490,1250,4350
KATAWA,TN10061,North,MZUZU,Grid,Prepaid,600,354,611,400,565,8921,9076,155, 3.6 ,0,0,0,0
MSENJERE,TN26009,North,NKHOTAKOTA,Grid,Prepaid,600,568,0,568,0,10334,10334,0,#DIV/0!,326,2927,812,2441
HILL TOP,TN14003,North,MZUZU,Grid,Prepaid,600,580,600,360,820,9938,10261,323, 2.5 ,580,2927,1030,2477
NKHATABAY HOSP,TN10071,North,NKHATABAY,Grid,Prepaid,600,511,0,486,25,14423,14436,13, 1.9 ,890,2927,960,2857
MOBILE DG,TNMNRMBO,North,N/A,Grid,Prepaid,100,0,130,0,130,0,0,0,#DIV/0!,0,0,0,0
NKHATABAY PROPER,TN12021,North,NKHATABAY,Grid,Prepaid,600,600,254,550,304,13019,13187,168, 1.8 ,0,0,0,0
KARONGA MTL,TN10039,North,KARONGA,Grid,Prepaid,600,490,120,440,170,18736,18798,62, 2.7 ,0,0,0,0
RAFIQ FOUNDATION,TN12001,North,MZUZU,Grid,Prepaid,1000,940,0,895,45,11055,11073,18, 2.5 ,260,4392,1561,3091
KARONGA DIOCESE,TN13016,North,KARONGA,Grid,Prepaid,600,500,0,400,100,6443,6501,58, 1.7 ,0,0,0,0
MATETE,TN14011,North,NKHATABAY,OFFGRID,Prepaid,600,756,0,700,56,9342,9368,26, 2.2 ,742,2927,800,2869
KAZUNI,TN12018,North,MZIMBA,GRID,Prepaid,210,535,361,600,296,17530,17601,71, 4.2 ,561,2927,815,2673
MZUZU EXCHANGE 2,TN13002,North,MZUZU,GRID,Prepaid,2000,2000,0,1994,6,3110,3111,1, 6.0 ,0,0,0,0
KARONGA PROPER 2,TN10039,North,KARONGA,Grid,Prepaid,600,600,0,576,24,5652,5660,8, 3.0 ,0,0,0,0
TUKUMPHIRE,TN10070,North,MZUZU,GRID,Prepaid,800,900,0,862,38,761,780,19, 2.0 ,2303,5490,954,6839
MZUZU CENTRAL HOSP,TN12014,North,MZUZU,GRID,Prepaid,800,967,0,945,22,7532,7541,9, 2.4 ,1858,3306,1224,3940
TARGET,TN10049,North,MZUZU,GRID,Prepaid,800,970,0,964,6,4379,4382,3, 2.0 ,115,3306,1487,1934
DWANGWA CLUB,TN26002,North,NKHOTAKOTA,GRID,Prepaid,800,760,0,730,30,5142,5155,13, 2.3 ,0,0,0,0
CHOMA,TN13003,North,NKHATABAY,OFFGRID,off-grid,1000,879,922,1000,801,8315,8587,272, 2.9 ,0,0,0,0
TCC,TN12007,North,MZUZU,GRID,Prepaid,1000,830,0,716,114,5095,5164,69, 1.7 ,0,0,0,0
AREA 1B,TN15028,North,MZUZU,GRID,Prepaid,1000,600,0,587,13,26354,26359,5, 2.6 ,300,3306,500,3106
CHITIPA RESIDENTIAL,TN15019,North,CHITIPA,Grid,Prepaid,1000,527,0,500,27,8885,8895,10, 2.7 ,1315,2561,1234,2642
CHIKALE,TN14014,North,NKHATABAY,GRID,Prepaid,1000,353,1367,882,838,9180,9479,299, 2.8 ,998,3660,1890,2768
KHOSOLO,TN14008,North,MZIMBA,GRID,Prepaid,1000,990,0,989,1,3774,3775,1, 1.0 ,1150,0,920,230
ZUBAYUMO,TN15021,North,MZIMBA,OFFGRID,off-grid,1000,740,980,650,1070,10804,11057,253, 4.2 ,0,0,0,0
MPHEREMBE TC,TN11004,North,MZIMBA,OFFGRID,PREPAID,1000,921,140,1000,61,2926,2940,14, 4.4 ,600,3306,1020,2886
MZUZU GOVERNMENT SCHO,TN11002,North,MZUZU,Grid,Prepaid,1000,518,0,518,0,8356,8356,0,#DIV/0!,841,2561,981,2421
WOVWE,TN14009,North,KARONGA,Grid,Prepaid,1000,342,0,338,4,6032,6036,4, 1.0 ,381,2561,1190,1752
MLALE,TN12008,North,KARONGA,Grid,Prepaid,600,524,0,488,36,7674,7692,18, 2.0 ,1458,2927,1182,3203
CHINUNKHA,TN12005,North,KARONGA,GRID,Prepaid,1000,823,0,815,8,1104,1109,5, 1.6 ,7186,0,6098,1088
NGAZI,TN15031,North,MZIMBA,OFFGRID,Prepaid,1000,628,965,700,893,13753,14137,384, 2.3 ,0,0,0,0
KAFOTEKA,TN10050,North,MZIMBA,GRID,Prepaid,0,960,0,960,0,6383,6383,0,#DIV/0!,800,2561,1820,1541
MZUZU TECHNICAL COLLEE,TN13021,North,MZUZU,GRID,Prepaid,0,0,0,0,0,0,0,0,#DIV/0!,1069,2927,1060,2936
SONDA,TN10045,North,MZUZU,GRID,Prepaid,50,50,82,50,82,9201,9255,54, 1.5 ,1117,2927,980,3064
MZUZU VHF,TN11013,North,MZUZU,GRID,Prepaid,1000,808,428,994,242,1343,1444,101, 2.4 ,0,0,0,0
KABOKO,TN15006,North,MZUZU,GRID,Prepaid,600,0,0,0,0,0,0,0,#DIV/0!,890,2927,985,2832
KADIKECHI,TN15036,North,MZIMBA,OFFGRID,Prepaid,1000,754,0,600,154,7312,7364,52, 3.0 ,0,0,0,0
BWABWA,TN15017,North,MZIMBA,OFFGRID,Prepaid,1000,990,535,556,969,2975,3428,453, 2.1 ,0,0,0,0
MUYEWA,TN16003,North,NKHATABAY,OFFGRID,Prepaid,1000,250,1594,850,994,9948,10275,327, 3.0 ,0,0,0,0
MALAZA,TN10038,North,NKHATABAY,GRID,Prepaid,1000,548,0,480,68,4446,4481,35, 1.9 ,500,2927,840,2587
LISALE,TN14013,North,NKHATABAY,GRID,Prepaid,0,511,1269,1000,780,7136,7490,354, 2.2 ,1297,2927,1243,2981
ENDYONGOLENI,TN14001,North,MZIMBA,OFFGRID,Prepaid,1000,541,0,511,30,2600,2610,10, 3.0 ,0,0,0,0
ENGALAWENI,TN10038,North,MZIMBA,GRID,Prepaid,1000,997,0,948,49,3016,3040,24, 2.0 ,1524,2561,640,3445
IPONGA,TN12011,North,KARONGA,Grid,Prepaid,1000,916,0,914,2,2169,2171,2, 1.0 ,889,2561,1890,1560
MASASA,TN10040,North,MZUZU,Grid,Prepaid,600,466,80,544,2,10020,10022,2, 1.0 ,1757,2561,941,3377
MTWALO,TN10048,North,MZIMBA,OFFGRID,Prepaid,1000,483,0,429,54,3351,3379,28, 1.9 ,1287,2561,990,2858
AREA 6,TN15020,North,MZUZU,Grid,Prepaid,1000,532,0,532,0,155,155,0,#DIV/0!,800,2561,1050,2311
KAPOKA,TN15014,North,CHITIPA,OFFGRID,Prepaid,600,462,356,600,218,5294,5341,47, 4.6 ,0,0,0,0
MZIMBA DAPP,TN12007,North,MZIMBA,OFFGRID,Prepaid,1000,848,453,900,401,1959,2058,99, 4.1 ,0,0,0,0
MZALANGWE,TN15040,North,MZIMBA,OFFGRID,Prepaid,600,300,660,600,360,10329,10390,61, 5.9 ,0,0,0,0
UZUMALA,TN15043,North,RUMPHI,OFFGRID,Prepaid,600,300,580,500,380,15244,15467,223, 1.7 ,0,0,0,0
MZIMBA TURN OFF,TN15023,North,MZIMBA,OFFGRID,Prepaid,600,365,497,510,352,11807,11904,97, 3.6 ,0,0,0,0
MTUPI,TN26017,North,NKHOTAKOTA,OFFGRID,Prepaid,600,200,901,510,591,25011,25183,172, 3.4 ,0,0,0,0
MSONGWE MZUZU,TN13007,North,MZUZU,Grid,Prepaid,600,552,0,552,0,6899,6899,0,#DIV/0!,1684,2561,900,3345
ST ANDREWS MZUZU,TN10046,North,MZUZU,OFFGRID,Prepaid,600,600,180,581,199,11311,11337,26, 7.7 ,1269,2927,956,3240
CHIZUMULU,TN12023,North,LIKOMA,OFFGRID,Prepaid,1000,685,400,700,385,1820,1928,108, 3.6 ,0,0,0,0
DOROBA,TN14007,North,MZUZU,Grid,Prepaid,300,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0
MKOMBEZI,TN14020,North,RUMPHI,OFFGRID,Prepaid,600,210,600,247,563,1808,1936,128, 4.4 ,0,0,0,0
ULIWA,TN10058,North,KARONGA,Grid,Prepaid,600,400,0,400,0,7110,7110,0,#DIV/0!,1432,2561,1540,2453
BULA,TN12024,North,NKHATABAY,OFFGRID,Prepaid,1000,895,0,750,145,6755,6821,66, 2.2 ,0,0,0,0
NTHUNGWA,TN10059,North,MZIMBA,OFFGRID,Prepaid,1000,382,502,420,464,23111,23241,130, 3.6 ,0,0,0,0
SANGA,TN14022,North,NKHATABAY,OFFGRID,Prepaid,600,600,1091,400,1291,13152,13869,717, 1.8 ,0,0,0,0
