Sites Name,Site ID,Region,District,Site Status         (Grid/Prime),ESCOM,Tank Size,Opening  Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage,
JENDA,TN15033,North,MZIMBA,Grid,Prepaid,1000,470,648,750,368,4476,4584,108, 3.4 ,719,3050,500,3269,LUPERERE
EDINGENI,TN13010,North,MZIMBA,Grid,Prepaid,600,485,100,520,65,12346,12376,30, 2.2 ,920,3050,650,3320,MANYAMULA
LUPERERE,TN13019,North,MZIMBA,OFFGRID,Prepaid,600,360,541,600,301,24378,24442,64, 4.7 ,0,0,0,0,ESWAZINI
MANYAMULA,TN15012,North,MZIMBA,Grid,Prepaid,600,451,200,425,226,13093,13206,113, 2.0 ,310,3050,800,2560,MPHEREMBE
ESWAZINI,TN15022,North,MZIMBA,Grid,Prepaid,600,397,383,600,180,9909,9952,43, 4.2 ,0,0,0,0,RUMPHI TOWN
MPHEREMBE,TN11004,North,MZIMBA,Grid,Prepaid,600,932,0,835,97,4634,4676,42, 2.3 ,811,3050,911,2950,BOLERO
RUMPHI TOWN,TN13013,North,RUMPHI,Grid,Prepaid,600,500,342,600,242,10138,10163,25, 9.7 ,720,3050,900,2870,THAZIMA
BOLERO,TN10064,North,RUMPHI,Grid,Prepaid,210,462,410,600,272,11819,11886,67, 4.1 ,1201,3306,920,3587,CHILINDA/CHOSI
THAZIMA,TN13014,North,RUMPHI,OFFGRID,Prepaid,1000,980,980,1000,960,9015,9304,289, 3.3 ,0,0,0,0,DOMWE
CHILINDA/CHOSI,TN14021,North,RUMPHI,OFFGRID,Prepaid,1000,898,1057,1000,955,13178,13400,222, 4.3 ,0,0,0,0,MPHOMPHA
DOMWE,TN10068,North,RUMPHI,OFFGRID,Prepaid,1000,964,955,1000,919,7518,7709,191, 4.8 ,0,0,0,0,PHWEZI
MPHOMPHA,TN10010,North,RUMPHI,OFFGRID,Prepaid,1000,915,0,780,135,5597,5657,60, 2.3 ,0,0,0,0,MLOWE
PHWEZI,TN11005,North,RUMPHI,Grid,Prepaid,210,210,0,153,57,14543,14573,30, 1.9 ,431,2561,500,2492,JALAWE
MLOWE,TN10072,North,RUMPHI,OFFGRID,Prepaid,800,654,0,436,218,34467,34554,87, 2.5 ,0,0,0,0,MWEYEYE
JALAWE,TN15011,North,RUMPHI,Grid,Prepaid,210,204,0,204,0,4314,4314,0,#DIV/0!,900,2456,1011,2345,LIVINGSTONIA
MWEYEYE,TN15035,North,RUMPHI,Grid,Prepaid,600,300,0,290,10,6781,6791,10, 1.0 ,1052,2456,780,2728,CHITIMBA
LIVINGSTONIA,TN15009,North,RUMPHI,Grid,Prepaid,600,400,0,270,130,4371,4443,72, 1.8 ,0,0,0,0,UNDANINGE
CHITIMBA,TN11001,North,KARONGA,Grid,Prepaid,800,776,0,497,279,13416,13532,116, 2.4 ,719,3050,891,2878,NGARA
UNDANINGE,TN11007,North,KARONGA,Grid,Prepaid,1000,809,0,753,56,2369,2404,35, 1.6 ,0,0,0,0,LUPEMBE
NGARA,TN10076,North,KARONGA,Grid,Prepaid,600,579,0,521,58,8995,9029,34, 1.7 ,511,2927,458,2980,MAYOKA
LUPEMBE,TN15037,North,KARONGA,Grid,Prepaid,600,586,0,454,132,62,144,82, 1.6 ,1045,2456,110,3391,SONGWE
MAYOKA,TN11011,North,KARONGA,Grid,Prepaid,210,107,180,210,77,9484,9538,54, 1.4 ,0,0,0,0,MPATA
SONGWE,TN14006,North,KARONGA,Grid,Prepaid,1000,562,360,517,405,5605,5787,182, 2.2 ,813,3050,1077,2786,MISUKU
MPATA,TN14018,North,KARONGA,Grid,Prepaid,600,484,0,284,200,5262,5345,83, 2.4 ,500,2927,1021,2406,ELEPHANT TREE
MISUKU,TN11006,North,KARONGA,Grid,Prepaid,600,728,0,700,28,3894,3919,25, 1.1 ,400,2927,740,2587,BUNDI
ELEPHANT TREE,TN15025,North,KARONGA,Grid,Prepaid,600,664,600,810,454,1323,1389,66, 6.9 ,900,2927,980,2847,KARONGA PROPER
BUNDI,TN14004,North,NKHATABAY,OFFGRID,Prepaid,600,500,0,500,0,15090,15090,0,#DIV/0!,0,0,0,0,MZIMBA MTL
KARONGA PROPER,TN10039,North,KARONGA,Grid,Prepaid,2000,444,0,140,304,3719,3830,111, 2.7 ,250,6881,1054,6077,BWENGU MTL
MZIMBA MTL,,North,MZIMBA,Grid,Prepaid,1000,420,400,481,339,3151,3267,116, 2.9 ,0,0,0,0,LUBINGA ACCESS
BWENGU MTL,TN15001,North,RUMPHI,Grid,Prepaid,1000,840,0,830,10,2091,2099,8, 1.3 ,0,0,0,0,MZIMBA HOSPITAL
LUBINGA ACCESS,TN10051,North,MZUZU,Grid,Prepaid,600,285,260,450,95,10241,10287,46, 2.1 ,0,0,0,0,CHINTHECHE MTL
MZIMBA HOSPITAL,TN10067,North,MZIMBA,Grid,Prepaid,600,492,200,450,242,29679,29783,104, 2.3 ,800,2561,1210,2151,BOTANIC
CHINTHECHE MTL,TN11003,North,NKHATABAY,Grid,Prepaid,600,560,0,460,100,5158,5208,50, 2.0 ,510,3050,980,2580,CLUB MARINA
BOTANIC,TN12006,North,MZUZU,Grid,Prepaid,600,570,0,504,66,5872,5902,30, 2.2 ,190,3050,1551,1689,MZUZU STADIUM
CLUB MARINA,TN12003,North,KARONGA,Grid,Prepaid,600,500,315,400,415,8530,8737,207, 2.0 ,200,3050,1051,2199,KATOTO SCHOOL
MZUZU STADIUM,TN10055,North,MZUZU,Grid,Prepaid,600,460,184,600,44,8416,8426,10, 4.4 ,910,3050,970,2990,KATAWA
KATOTO SCHOOL,TN10052,North,MZUZU,Grid,Prepaid,1000,840,0,710,130,1967,2017,50, 2.6 ,850,4560,888,4522,MSENJERE
KATAWA,TN10061,North,MZUZU,Grid,Prepaid,600,315,319,600,34,9213,9237,24, 1.4 ,0,0,0,0,HILL TOP
MSENJERE,TN26009,North,NKHOTAKOTA,Grid,Prepaid,600,490,167,570,87,10375,10418,43, 2.0 ,961,2561,780,2742,NKHATABAY HOSP
HILL TOP,TN14003,North,MZUZU,Grid,Prepaid,600,430,330,600,160,10357,10375,18, 8.9 ,900,3050,955,2995,MOBILE DG
NKHATABAY HOSP,TN10071,North,NKHATABAY,Grid,Prepaid,600,488,0,460,28,14523,14537,14, 2.0 ,855,2561,789,2627,NKHATABAY PROPER
MOBILE DG,TNMNRMBO,North,N/A,Grid,Prepaid,100,0,240,0,240,0,0,0,#DIV/0!,0,0,0,0,KARONGA MTL
NKHATABAY PROPER,TN12021,North,NKHATABAY,Grid,Prepaid,600,560,224,400,384,1879,1974,95, 4.0 ,0,0,0,0,RAFIQ FOUNDATION
KARONGA MTL,TN10039,North,KARONGA,Grid,Prepaid,600,355,460,400,415,18954,19026,72, 5.8 ,0,0,0,0,KARONGA DIOCESE
RAFIQ FOUNDATION,TN12001,North,MZUZU,Grid,Prepaid,1000,754,0,591,163,11138,11203,65, 2.5 ,200,3050,456,2794,MATETE
KARONGA DIOCESE,TN13016,North,KARONGA,Grid,Prepaid,600,530,0,520,10,6584,6599,15, 0.7 ,0,0,0,0,KAZUNI
MATETE,TN14011,North,NKHATABAY,OFFGRID,Prepaid,600,382,1054,970,466,9525,9691,166, 2.8 ,530,2927,820,2637,MZUZU EXCHANGE 2
KAZUNI,TN12018,North,MZIMBA,GRID,Prepaid,210,372,0,302,70,17709,17744,35, 2.0 ,525,2927,1131,2321,KARONGA PROPER 2
MZUZU EXCHANGE 2,TN13002,North,MZUZU,GRID,Prepaid,2000,1481,1112,2000,593,3207,3258,51, 11.6 ,0,0,0,0,TUKUMPHIRE
KARONGA PROPER 2,TN10039,North,KARONGA,Grid,Prepaid,600,360,0,360,0,5778,5778,0,#DIV/0!,0,0,0,0,MZUZU CENTRAL HOSP
TUKUMPHIRE,TN10070,North,MZUZU,GRID,Prepaid,800,670,0,530,140,864,920,56, 2.5 ,400,5490,1090,4800,TARGET
MZUZU CENTRAL HOSP,TN12014,North,MZUZU,GRID,Prepaid,800,856,0,760,96,7587,7639,52, 1.8 ,800,3050,540,3310,DWANGWA CLUB
TARGET,TN10049,North,MZUZU,GRID,Prepaid,800,882,0,806,76,4410,4437,27, 2.8 ,740,3306,787,3259,CHOMA
DWANGWA CLUB,TN26002,North,NKHOTAKOTA,GRID,Prepaid,800,630,0,590,40,5198,5215,17, 2.4 ,0,0,0,0,TCC
CHOMA,TN13003,North,NKHATABAY,OFFGRID,off-grid,1000,773,0,657,116,8693,8748,55, 2.1 ,970,3050,0,4020,AREA 1B
TCC,TN12007,North,MZUZU,GRID,Prepaid,1000,652,0,586,66,5206,5239,33, 2.0 ,0,0,0,0,CHITIPA RESIDENTIAL
AREA 1B,TN15028,North,MZUZU,GRID,Prepaid,1000,512,0,462,50,26389,26409,20, 2.5 ,866,3051,480,3437,CHIKALE
CHITIPA RESIDENTIAL,TN15019,North,CHITIPA,Grid,Prepaid,1000,419,0,291,128,8929,8982,53, 2.4 ,1102,2561,1124,2539,KHOSOLO
CHIKALE,TN14014,North,NKHATABAY,GRID,Prepaid,1000,600,0,379,221,9753,9849,96, 2.3 ,930,2927,1170,2687,ZUBAYUMO
KHOSOLO,TN14008,North,MZIMBA,GRID,Prepaid,1000,975,0,903,72,3787,3829,42, 1.7 ,400,2927,1201,2126,MPHEREMBE TC
ZUBAYUMO,TN15021,North,MZIMBA,OFFGRID,off-grid,1000,436,960,564,832,11603,11821,218, 3.8 ,0,0,0,0,MZUZU GOVERNMENT SCHO
MPHEREMBE TC,TN11004,North,MZIMBA,OFFGRID,PREPAID,1000,809,0,746,63,3024,3048,24, 2.6 ,922,3050,1132,2840,WOVWE
MZUZU GOVERNMENT SCHO,TN11002,North,MZUZU,Grid,Prepaid,1000,537,0,445,92,8418,8464,46, 2.0 ,850,2927,899,2878,MLALE
WOVWE,TN14009,North,KARONGA,Grid,Prepaid,1000,332,0,326,6,6040,6043,3, 2.0 ,1052,2561,1240,2373,CHINUNKHA
MLALE,TN12008,North,KARONGA,Grid,Prepaid,600,578,0,529,49,7738,7121,-617,-0.1 ,840,3050,788,3102,NGAZI
CHINUNKHA,TN12005,North,KARONGA,GRID,Prepaid,1000,799,0,783,16,1119,1128,9, 1.8 ,4900,0,5111,-211,KAFOTEKA
NGAZI,TN15031,North,MZIMBA,OFFGRID,Prepaid,1000,561,365,813,113,14869,14914,45, 2.5 ,0,0,0,0,MZUZU TECHNICAL COLLEE
KAFOTEKA,TN10050,North,MZIMBA,GRID,Prepaid,0,931,0,751,180,6398,6488,90, 2.0 ,911,2927,740,3098,SONDA
MZUZU TECHNICAL COLLEE,TN13021,North,MZUZU,GRID,Prepaid,0,0,50,40,10,0,6,6, 1.7 ,800,2561,1057,2304,MZUZU VHF
SONDA,TN10045,North,MZUZU,GRID,Prepaid,50,50,692,600,142,9292,37,-9255,-0.0 ,836,2561,892,2505,KABOKO
MZUZU VHF,TN11013,North,MZUZU,GRID,Prepaid,1000,830,0,746,84,1507,1542,35, 2.4 ,0,0,0,0,KADIKECHI
KABOKO,TN15006,North,MZUZU,GRID,Prepaid,600,0,279,250,29,0,7762,7762, 0.0 ,950,2651,915,2686,BWABWA
KADIKECHI,TN15036,North,MZIMBA,OFFGRID,Prepaid,1000,900,0,780,120,7475,7515,40, 3.0 ,0,0,0,0,MUYEWA
BWABWA,TN15017,North,MZIMBA,OFFGRID,Prepaid,1000,1000,933,1000,933,4547,4961,414, 2.3 ,0,0,0,0,MALAZA
MUYEWA,TN16003,North,NKHATABAY,OFFGRID,Prepaid,1000,380,1757,1000,1137,11298,11792,494, 2.3 ,0,0,0,0,LISALE
MALAZA,TN10038,North,NKHATABAY,GRID,Prepaid,1000,310,500,638,172,4565,4607,42, 4.1 ,480,2927,814,2593,ENDYONGOLENI
LISALE,TN14013,North,NKHATABAY,GRID,Prepaid,0,850,0,451,399,7840,8030,190, 2.1 ,2055,2927,1089,3893,ENGALAWENI
ENDYONGOLENI,TN14001,North,MZIMBA,OFFGRID,Prepaid,1000,685,0,640,45,2830,2845,15, 3.0 ,0,0,0,0,IPONGA
ENGALAWENI,TN10038,North,MZIMBA,GRID,Prepaid,1000,733,0,630,103,3385,3440,55, 1.9 ,1051,2927,810,3168,MASASA
IPONGA,TN12011,North,KARONGA,Grid,Prepaid,1000,912,0,907,5,2173,2176,3, 1.7 ,917,2456,920,2453,MTWALO
MASASA,TN10040,North,MZUZU,Grid,Prepaid,600,518,0,480,38,10060,10079,19, 2.0 ,590,2927,510,3007,AREA 6
MTWALO,TN10048,North,MZIMBA,OFFGRID,Prepaid,1000,950,0,849,101,3465,3518,53, 1.9 ,1888,2927,1311,3504,KAPOKA
AREA 6,TN15020,North,MZUZU,Grid,Prepaid,1000,384,380,600,164,164,165,1, 164.0 ,690,2927,913,2704,MZIMBA DAPP
KAPOKA,TN15014,North,CHITIPA,OFFGRID,Prepaid,600,144,585,441,288,5480,5570,90, 3.2 ,0,0,0,0,MZALANGWE
MZIMBA DAPP,TN12007,North,MZIMBA,OFFGRID,Prepaid,1000,800,300,700,400,2291,2384,93, 4.3 ,0,0,0,0,UZUMALA
MZALANGWE,TN15040,North,MZIMBA,OFFGRID,Prepaid,600,406,0,366,40,10447,10461,14, 2.9 ,0,0,0,0,MZIMBA TURN OFF
UZUMALA,TN15043,North,RUMPHI,OFFGRID,Prepaid,600,600,0,501,99,15729,15781,52, 1.9 ,0,0,0,0,MTUPI
MZIMBA TURN OFF,TN15023,North,MZIMBA,OFFGRID,Prepaid,600,580,0,311,269,12105,12201,96, 2.8 ,0,0,0,0,MSONGWE MZUZU
MTUPI,TN26017,North,NKHOTAKOTA,OFFGRID,Prepaid,600,500,1015,600,915,25654,25888,234, 3.9 ,0,0,0,0,ST ANDREWS MZUZU
MSONGWE MZUZU,TN13007,North,MZUZU,Grid,Prepaid,600,600,0,580,20,6899,6910,11, 1.8 ,1024,3050,817,3257,CHIZUMULU
ST ANDREWS MZUZU,TN10046,North,MZUZU,OFFGRID,Prepaid,600,476,0,431,45,11376,11394,18, 2.5 ,541,3050,850,2741,DOROBA
CHIZUMULU,TN12023,North,LIKOMA,OFFGRID,Prepaid,1000,667,800,600,867,2149,2287,138, 6.3 ,0,0,0,0,MKOMBEZI
DOROBA,TN14007,North,MZUZU,Grid,Prepaid,300,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,ULIWA
MKOMBEZI,TN14020,North,RUMPHI,OFFGRID,Prepaid,600,600,400,600,400,2182,2300,118, 3.4 ,0,0,0,0,BULA
ULIWA,TN10058,North,KARONGA,Grid,Prepaid,600,550,0,480,70,7197,7237,40, 1.8 ,820,2456,1121,2155,NTHUNGWA
BULA,TN12024,North,NKHATABAY,OFFGRID,Prepaid,1000,622,0,100,522,7183,7405,222, 2.4 ,0,0,0,0,SANGA
NTHUNGWA,TN10059,North,MZIMBA,OFFGRID,Prepaid,1000,395,795,658,532,23465,23543,78, 6.8 ,0,0,0,0,CHIBAKO
SANGA,TN14022,North,NKHATABAY,OFFGRID,Prepaid,600,400,1140,500,1040,15027,15547,520, 2.0 ,0,0,0,0,MZUZU MARKET
CHIBAKO,,,,,,,424,0,397,,9125,9140,15, -   ,0,0,0,0,
